k,t,Qnum,approach,time,size,benchmarkName,benchmarkSet
14,3,0,sq-chip,115809,6851,Insurance,real1
9,3,20,sq-chip,4522.75,1100,NetworkMgmt,real1
15,3,13,sq-chip,383.349,119,ProcessorComm1,real1
25,3,125,sq-chip,2675.3,164,ProcessorComm2,real1
13,3,388,sq-chip,37540.2,942,Services,real1
18,3,13,sq-chip,1898.78,93,Spin-S,real2
55,3,49,sq-chip,1513.01,205,Spin-V,real2
4,3,95,sq-chip,1073.57,25,Storage1,real1
5,3,0,sq-chip,23.1546,54,Storage2,real1
15,3,48,sq-chip,6075.72,233,Storage3,real1
20,3,24,sq-chip,11028.7,819,Storage4,real1
23,3,151,sq-chip,35538.4,1879,Storage5,real1
10,3,17,sq-chip,173.023,50,SystemMgmt,real1
10,3,21,sq-chip,1042.61,120,Telecom,real1
172,4,7,sq-chip,86169,838,Apache,real2
5,4,112,sq-chip,16074.2,139,Banking1,real1
15,4,3,sq-chip,914.909,71,Banking2,real1
52,4,5,sq-chip,20820.8,176,Bugzilla,real2
11,4,128,sq-chip,31846,99,CommProtocol,real1
5,4,7,sq-chip,1334.12,8,Concurrency,real1
199,4,40,sq-chip,103177,444,GCC,real2
10,4,21,sq-chip,8722.53,331,Healthcare1,real1
12,4,25,sq-chip,905.435,177,Healthcare2,real1
29,4,31,sq-chip,29061.8,851,Healthcare3,real1
35,4,22,sq-chip,36718.5,1536,Healthcare4,real1
14,4,0,sq-chip,213365,75764,Insurance,real1
9,4,20,sq-chip,207136,5610,NetworkMgmt,real1
15,4,13,sq-chip,11186.6,544,ProcessorComm1,real1
25,4,125,sq-chip,7942.29,837,ProcessorComm2,real1
13,4,388,sq-chip,441412,6855,Services,real1
18,4,13,sq-chip,12852.6,339,Spin-S,real2
55,4,49,sq-chip,33773.2,1166,Spin-V,real2
4,4,95,sq-chip,12795.1,25,Storage1,real1
5,4,0,sq-chip,2345.75,162,Storage2,real1
15,4,48,sq-chip,5979.04,627,Storage3,real1
20,4,24,sq-chip,86073.4,5671,Storage4,real1
23,4,151,sq-chip,36960,13292,Storage5,real1
10,4,17,sq-chip,4123.74,139,SystemMgmt,real1
10,4,21,sq-chip,10070.4,360,Telecom,real1
