k,t,Qnum,Qlevel,time,size,approach,setup
20,2,53,6,2.796562,25.4,hybrid,32x1
20,2,80,9,4.66924,26.6,hybrid,32x1
80,2,0,0,4.425882,37.4,hybrid,32x1
80,2,53,3,7.994816,37,hybrid,32x1
80,2,107,6,10.670862,38.4,hybrid,32x1
80,2,160,9,28.50808,37.4,hybrid,32x1
140,2,0,0,8.048882,42.6,hybrid,32x1
140,2,70,3,14.61292,42.2,hybrid,32x1
140,2,141,6,30.60934,42.4,hybrid,32x1
140,2,212,9,69.4059,42.8,hybrid,32x1
200,2,0,0,14.26842,44.4,hybrid,32x1
200,2,84,3,28.67114,45,hybrid,32x1
200,2,169,6,54.33236,45.2,hybrid,32x1
200,2,254,9,90.30916,46.4,hybrid,32x1
20,3,0,0,34.8791,123.4,hybrid,32x1
20,3,26,3,49.80938,123.2,hybrid,32x1
20,3,53,6,65.84192,127.8,hybrid,32x1
20,3,80,9,80.15958,140.8,hybrid,32x1
80,3,0,0,1251.306,242.6,hybrid,32x1
80,3,53,3,1207.428,243,hybrid,32x1
80,3,107,6,1390.114,244,hybrid,32x1
80,3,160,9,1819.852,248.4,hybrid,32x1
140,3,0,0,6032.182,296.8,hybrid,32x1
140,3,70,3,6250.348,296.8,hybrid,32x1
140,3,141,6,6660.962,297,hybrid,32x1
140,3,212,9,7490.072,298.8,hybrid,32x1
200,3,0,0,17520.76,327.6,hybrid,32x1
200,3,84,3,*,*,hybrid,32x1
200,3,169,6,*,*,hybrid,32x1
200,3,254,9,*,*,hybrid,32x1
20,2,0,0,1.0375936,27,nonhybrid,1x32
20,2,26,3,1.27642,27.4,nonhybrid,1x32
20,2,53,6,1.346096,28.2,nonhybrid,1x32
20,2,80,9,2.193066,32.2,nonhybrid,1x32
80,2,0,0,4.429334,41.6,nonhybrid,1x32
80,2,53,3,5.215462,41.8,nonhybrid,1x32
80,2,107,6,5.13471,41.6,nonhybrid,1x32
80,2,160,9,7.71936,43.6,nonhybrid,1x32
140,2,0,0,8.425626,47.6,nonhybrid,1x32
140,2,70,3,9.403226,47.6,nonhybrid,1x32
140,2,141,6,11.159676,48.2,nonhybrid,1x32
140,2,212,9,13.0139,49,nonhybrid,1x32
200,2,0,0,17.94842,51.4,nonhybrid,1x32
200,2,84,3,18.07202,50.8,nonhybrid,1x32
200,2,169,6,18.08412,50.6,nonhybrid,1x32
200,2,254,9,22.0712,51.6,nonhybrid,1x32
20,3,0,0,31.02058,134,nonhybrid,1x32
20,3,26,3,31.35724,134,nonhybrid,1x32
20,3,53,6,55.04876,141.2,nonhybrid,1x32
20,3,80,9,90.2066,158,nonhybrid,1x32
80,3,0,0,555.4494,265,nonhybrid,1x32
80,3,53,3,533.227,264.6,nonhybrid,1x32
80,3,107,6,647.8328,269.4,nonhybrid,1x32
80,3,160,9,699.6952,274.8,nonhybrid,1x32
140,3,0,0,1899.766,323.4,nonhybrid,1x32
140,3,70,3,2012.716,323.6,nonhybrid,1x32
140,3,141,6,2176.58,326.4,nonhybrid,1x32
140,3,212,9,2226.85,329.2,nonhybrid,1x32
200,3,0,0,*,*,nonhybrid,1x32
200,3,84,3,*,*,nonhybrid,1x32
200,3,169,6,*,*,nonhybrid,1x32
200,3,254,9,*,*,nonhybrid,1x32
20,2,0,0,1.0399966,25.6,nonhybrid,2x16
20,2,26,3,1.2267018,26.4,nonhybrid,2x16
20,2,53,6,1.3010326,26.8,nonhybrid,2x16
20,2,80,9,1.8312894,30.6,nonhybrid,2x16
80,2,0,0,4.548506,39.6,nonhybrid,2x16
80,2,53,3,4.838088,39.8,nonhybrid,2x16
80,2,107,6,4.05581,40,nonhybrid,2x16
80,2,160,9,5.546,41.6,nonhybrid,2x16
140,2,0,0,4.316858,45.6,nonhybrid,2x16
140,2,70,3,6.489458,45.6,nonhybrid,2x16
140,2,141,6,4.959092,45.6,nonhybrid,2x16
140,2,212,9,8.065586,46.8,nonhybrid,2x16
200,2,0,0,8.425508,48.2,nonhybrid,2x16
200,2,84,3,10.88466,48.6,nonhybrid,2x16
200,2,169,6,11.893,48.6,nonhybrid,2x16
200,2,254,9,11.4652,48.4,nonhybrid,2x16
20,3,0,0,34.65574,130.4,nonhybrid,2x16
20,3,26,3,45.10006,130.8,nonhybrid,2x16
20,3,53,6,44.01428,135.8,nonhybrid,2x16
20,3,80,9,68.19944,150.2,nonhybrid,2x16
80,3,0,0,566.304,256,nonhybrid,2x16
80,3,53,3,644.7096,257.4,nonhybrid,2x16
80,3,107,6,673.8588,259.2,nonhybrid,2x16
80,3,160,9,758.5558,265.6,nonhybrid,2x16
140,3,0,0,2402.448,313,nonhybrid,2x16
140,3,70,3,2692.072,314.8,nonhybrid,2x16
140,3,141,6,2849.73,316.4,nonhybrid,2x16
140,3,212,9,2881.394,319.2,nonhybrid,2x16
200,3,0,0,*,*,nonhybrid,2x16
200,3,84,3,*,*,nonhybrid,2x16
200,3,169,6,*,*,nonhybrid,2x16
200,3,254,9,*,*,nonhybrid,2x16
20,2,0,0,0.7134906,25.6,nonhybrid,4x8
20,2,26,3,0.966714,25.2,nonhybrid,4x8
20,2,53,6,1.44521,26.4,nonhybrid,4x8
20,2,80,9,1.2973284,28.8,nonhybrid,4x8
80,2,0,0,4.786734,37.4,nonhybrid,4x8
80,2,53,3,6.096896,37.6,nonhybrid,4x8
80,2,107,6,6.6738,38.4,nonhybrid,4x8
80,2,160,9,4.596354,39.8,nonhybrid,4x8
140,2,0,0,9.912164,42.8,nonhybrid,4x8
140,2,70,3,10.334652,43.2,nonhybrid,4x8
140,2,141,6,12.602088,43.8,nonhybrid,4x8
140,2,212,9,11.811224,44.2,nonhybrid,4x8
200,2,0,0,7.926972,47,nonhybrid,4x8
200,2,84,3,8.359862,47.2,nonhybrid,4x8
200,2,169,6,7.564746,47.6,nonhybrid,4x8
200,2,254,9,14.476318,46.8,nonhybrid,4x8
20,3,0,0,25.171812,126.4,nonhybrid,4x8
20,3,26,3,25.89632,128.6,nonhybrid,4x8
20,3,53,6,31.42714,132.2,nonhybrid,4x8
20,3,80,9,59.38382,145,nonhybrid,4x8
80,3,0,0,661.3772,248.6,nonhybrid,4x8
80,3,53,3,780.7052,250.4,nonhybrid,4x8
80,3,107,6,949.5174,254.2,nonhybrid,4x8
80,3,160,9,1006.1794,259,nonhybrid,4x8
140,3,0,0,3262.606,305.4,nonhybrid,4x8
140,3,70,3,3432.074,306,nonhybrid,4x8
140,3,141,6,3908.5,307.8,nonhybrid,4x8
140,3,212,9,3997.422,310.8,nonhybrid,4x8
200,3,0,0,*,*,nonhybrid,4x8
200,3,84,3,*,*,nonhybrid,4x8
200,3,169,6,*,*,nonhybrid,4x8
200,3,254,9,*,*,nonhybrid,4x8
20,2,0,0,1.0141942,24.6,nonhybrid,8x4
20,2,26,3,1.3865482,24.6,nonhybrid,8x4
20,2,53,6,1.615114,25.4,nonhybrid,8x4
20,2,80,9,1.3601314,28.6,nonhybrid,8x4
80,2,0,0,4.145488,37.2,nonhybrid,8x4
80,2,53,3,5.76247,37,nonhybrid,8x4
80,2,107,6,5.449302,37.6,nonhybrid,8x4
80,2,160,9,7.581424,38.6,nonhybrid,8x4
140,2,0,0,7.97651,42,nonhybrid,8x4
140,2,70,3,10.23765,42.4,nonhybrid,8x4
140,2,141,6,13.49726,42.2,nonhybrid,8x4
140,2,212,9,15.71015,43.4,nonhybrid,8x4
200,2,0,0,12.081832,45.4,nonhybrid,8x4
